Commodity,Attribute,Country,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
,,Switzerland,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,3,5,4,3,4,3,3,3,3,2,2,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,6.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,(1000 MT)
,,Thailand,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,10,3,1,10,10,8,16,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,4.0,11.0,39.0,68.0,50.0,28.0,33.0,15.0,12.0,15.0,31.0,2.0,0.0,5.0,15.0,(1000 MT)
,,Togo,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Turkey,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,98.0,96.0,101.0,103.0,87.0,86.0,84.0,98.0,99.0,77.0,82.0,67.0,65.0,70.0,79.0,85.0,75.0,95.0,(1000 MT)
,,Union of Soviet Socialist Repu,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,12,13,13,10,0,1,5,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,United Kingdom,0,0,0,1.0,16.0,35.0,23.0,30.0,33,37,59,78,57,64,65,61,64,61,53,52,62,59,38,62,75,68,54,55,72.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,33.0,29.0,29.0,25.0,30.0,25.0,(1000 MT)
,,United States,0,0,0,38.0,50.0,47.0,55.0,45.0,37,43,45,45,66,73,71,67,58,79,81,77,93,108,81,138,164,180,210,174,168.0,139.0,155.0,137.0,138.0,127.0,119.0,178.0,163.0,181.0,178.0,165.0,140.0,222.0,261.0,236.0,240.0,299.0,229.0,338.0,302.0,286.0,304.0,274.0,269.0,305.0,355.0,361.0,377.0,327.0,376.0,378.0,338.0,360.0,380.0,(1000 MT)
,Total Supply,Belgium-Luxembourg,0,0,0,16.0,12.0,6.0,11.0,8.0,9,5,5,2,6,4,2,3,2,3,2,3,6,4,2,5,10,4,10,10,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Benin,0,0,1,16.0,16.0,19.0,23.0,20.0,22,23,27,30,27,34,40,40,27,32,33,33,35,35,35,35,35,35,35,35,35.0,35.0,35.0,13.0,13.0,13.0,9.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,11.0,12.0,(1000 MT)
,,Brazil,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,5,6,8,14,15.0,15.0,15.0,15.0,15.0,15.0,18.0,20.0,21.0,30.0,54.0,48.0,51.0,46.0,49.0,59.0,79.0,105.0,121.0,152.0,213.0,192.0,205.0,223.0,247.0,239.0,228.0,258.0,254.0,260.0,280.0,312.0,294.0,286.0,319.0,(1000 MT)
