Commodity,Attribute,Country,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
,,Bulgaria,0,0,0,23,21,23.0,28.0,21.0,21,18.0,1.0,7.0,9,11.0,7.0,7.0,12.0,9.0,11.0,9.0,9.0,8.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Burkina Faso,0,0,0,11,8,10.0,15.0,18.0,22,34.0,39.0,28.0,43,73.0,44.0,41.0,48.0,51.0,59.0,77.0,112.0,105.0,99.0,90.0,104.0,99.0,90.0,61.0,85.0,85.0,115.0,175.0,135.0,118.0,127.0,170.0,180.0,207.0,250.0,297.0,279.0,169.0,195.0,170.0,160.0,170.0,220.0,220.0,220.0,220.0,265.0,260.0,200.0,215.0,210.0,215.0,155.0,160.0,(1000 MT)
,,Burma,0,0,0,20,22,22.0,22.0,23.0,26,23.0,19.0,26.0,32,27.0,45.0,57.0,59.0,63.0,71.0,56.0,46.0,46.0,32.0,52.0,57.0,47.0,52.0,51.0,62.0,72.0,79.0,79.0,118.0,154.0,100.0,88.0,90.0,107.0,135.0,166.0,190.0,220.0,323.0,372.0,391.0,353.0,264.0,360.0,384.0,451.0,358.0,250.0,196.0,142.0,124.0,129.0,114.0,194.0,(1000 MT)
,,Cameroon,0,0,0,52,21,25.0,24.0,15.0,22,26.0,25.0,21.0,34,55.0,59.0,61.0,54.0,67.0,75.0,98.0,102.0,93.0,110.0,90.0,95.0,89.0,93.0,93.0,110.0,110.0,117.0,111.0,113.0,105.0,120.0,115.0,114.0,138.0,136.0,134.0,90.0,71.0,91.0,80.0,95.0,100.0,125.0,150.0,155.0,155.0,165.0,175.0,185.0,200.0,210.0,200.0,190.0,210.0,(1000 MT)
,,Canada,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Chad,0,0,0,75,57,71.0,64.0,75.0,90,110.0,90.0,78.0,89,55.0,47.0,46.0,66.0,108.0,58.0,68.0,59.0,82.0,85.0,80.0,104.0,107.0,78.0,55.0,75.0,75.0,84.0,95.0,60.0,85.0,85.0,85.0,85.0,80.0,106.0,85.0,52.0,58.0,36.0,20.0,30.0,34.0,42.0,40.0,75.0,90.0,100.0,20.0,10.0,80.0,85.0,110.0,75.0,75.0,(1000 MT)
,,China,0,0,0,2651,2903,2684.0,2497.0,3266.0,3138,3036.0,2621.0,2612.0,2763,2777.0,3369.0,3725.0,4520.0,5814.0,7900.0,5245.0,4468.0,5375.0,5250.0,4652.0,5871.0,7781.0,6200.0,5516.0,6360.0,6863.0,6047.0,6750.0,6720.0,5900.0,6170.0,7650.0,7975.0,7610.0,9470.0,9100.0,10742.0,11220.0,11016.0,10080.0,9707.0,10150.0,10770.0,10230.0,9600.0,7500.0,7665.0,9500.0,9500.0,9400.0,9700.0,9400.0,10200.0,9300.0,(1000 MT)
,,Costa Rica,0,0,0,7,13,17.0,8.0,11.0,6,0.0,3.0,13.0,7,3.0,2.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Cote d'Ivoire,0,0,0,9,1,4.0,3.0,0.0,4,24.0,39.0,55.0,61,71.0,72.0,69.0,62.0,73.0,114.0,100.0,105.0,126.0,143.0,119.0,121.0,115.0,113.0,110.0,96.0,90.0,119.0,119.0,137.0,100.0,50.0,60.0,60.0,70.0,98.0,79.0,47.0,12.0,47.0,49.0,80.0,40.0,65.0,95.0,120.0,100.0,40.0,80.0,60.0,58.0,100.0,280.0,115.0,195.0,(1000 MT)
,,Cuba,0,0,0,2,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Egypt,0,0,0,801,772,785.0,777.0,755.0,654,570.0,567.0,615.0,664,720.0,772.0,739.0,696.0,630.0,614.0,645.0,595.0,514.0,455.0,465.0,500.0,360.0,460.0,550.0,365.0,360.0,497.0,420.0,360.0,355.0,296.0,372.0,392.0,298.0,409.0,279.0,310.0,294.0,143.0,130.0,167.0,212.0,150.0,134.0,160.0,95.0,50.0,90.0,147.0,90.0,64.0,84.0,128.0,105.0,(1000 MT)
,,El Salvador,0,0,0,88,106,106.0,107.0,120.0,122,95.0,116.0,131.0,116,106.0,70.0,61.0,56.0,41.0,63.0,25.0,19.0,16.0,9.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,EU-15,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,345.0,380.0,380.0,450.0,372.0,404.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,European Union,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,540.0,560.0,480.0,480.0,480.0,480.0,360.0,340.0,320.0,290.0,280.0,300.0,310.0,320.0,330.0,260.0,230.0,290.0,300.0,350.0,325.0,270.0,215.0,150.0,(1000 MT)
,,Former Yugoslavia,0,0,0,3,6,5.0,3.0,3.0,3,2.0,3.0,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,France,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Georgia,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,German Democratic Republic,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Germany,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,"Germany, Federal Republic of",0,0,0,4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Greece,0,0,0,207,199,232.0,258.0,180.0,209,235.0,203.0,226.0,190,115.0,161.0,234.0,138.0,175.0,260.0,280.0,299.0,292.0,375.0,357.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Guatemala,0,0,0,77,80,114.0,133.0,148.0,141,135.0,192.0,208.0,206,184.0,180.0,132.0,72.0,74.0,67.0,73.0,40.0,70.0,61.0,58.0,55.0,60.0,28.0,20.0,12.0,5.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Honduras,0,0,0,6,6,17.0,13.0,10.0,19,6.0,10.0,15.0,11,13.0,11.0,9.0,6.0,7.0,5.0,3.0,1.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,India,0,0,0,1273,1185,1605.0,1498.0,1474.0,1496,1577.0,1244.0,1326.0,1465,1707.0,1629.0,1790.0,1918.0,1731.0,2258.0,2370.0,2048.0,2028.0,2449.0,3100.0,2900.0,2965.0,3598.0,3045.0,3500.0,4450.0,4630.0,4000.0,4183.0,3930.0,3705.0,3842.0,3407.0,4325.0,5900.0,5965.0,6580.0,7415.0,7200.0,7300.0,8000.0,8400.0,8500.0,9100.0,9200.0,8550.0,8100.0,9200.0,8500.0,9650.0,9750.0,9000.0,9500.0,9200.0,(1000 MT)
,,Indonesia,0,0,0,1,2,3.0,5.0,2.0,2,3.0,0.0,1.0,0,0.0,0.0,0.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Iran,0,0,0,299,290,253.0,293.0,272.0,383,238.0,255.0,289.0,208,127.0,70.0,77.0,93.0,93.0,116.0,130.0,117.0,126.0,146.0,143.0,152.0,178.0,122.0,108.0,156.0,180.0,197.0,168.0,173.0,193.0,210.0,189.0,160.0,116.0,186.0,167.0,126.0,139.0,136.0,120.0,76.0,129.0,99.0,91.0,88.0,87.0,78.0,87.0,80.0,111.0,135.0,137.0,138.0,118.0,(1000 MT)
,,Iraq,0,0,0,24,25,28.0,25.0,22.0,13,19.0,27.0,27.0,27,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Ireland,0,0,0,0,0,0.0,0.0,1.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Italy,0,0,0,4,2,3.0,2.0,2.0,2,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,55.0,57.0,81.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Japan,216,246,244,281,256,187.0,146.0,133.0,113,99.0,93.0,91.0,74,78.0,72.0,83.0,82.0,93.0,94.0,89.0,61.0,40.0,36.0,36.0,38.0,38.0,36.0,36.0,40.0,31.0,37.0,43.0,35.0,33.0,30.0,33.0,31.0,33.0,33.0,33.0,33.0,26.0,23.0,23.0,23.0,22.0,28.0,30.0,30.0,30.0,30.0,30.0,26.0,26.0,25.0,29.0,25.0,25.0,(1000 MT)
,,Kazakhstan,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,167.0,200.0,193.0,157.0,105.0,81.0,71.0,80.0,73.0,90.0,80.0,110.0,140.0,175.0,180.0,185.0,220.0,220.0,210.0,178.0,163.0,135.0,108.0,147.0,163.0,168.0,97.0,96.0,112.0,111.0,131.0,127.0,93.0,88.0,110.0,95.0,(1000 MT)
,,"Korea, South",0,0,0,8,8,8.0,7.0,7.0,6,6.0,4.0,4.0,4,5.0,5.0,3.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,12.0,22.0,24.0,25.0,34.0,34.0,50.0,67.0,76.0,86.0,104.0,91.0,108.0,116.0,123.0,92.0,87.0,95.0,103.0,119.0,133.0,135.0,150.0,143.0,146.0,125.0,125.0,149.0,125.0,145.0,125.0,143.0,(1000 MT)
,,Kyrgyzstan,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,96.0,84.0,93.0,57.0,34.0,19.0,33.0,40.0,40.0,35.0,45.0,46.0,43.0,68.0,45.0,48.0,60.0,65.0,64.0,50.0,37.0,20.0,30.0,45.0,35.0,30.0,20.0,15.0,19.0,34.0,40.0,47.0,43.0,42.0,44.0,42.0,(1000 MT)
,,Madagascar,0,0,0,10,9,12.0,14.0,16.0,14,19.0,15.0,21.0,19,15.0,13.0,15.0,15.0,15.0,18.0,20.0,20.0,23.0,39.0,32.0,30.0,30.0,30.0,30.0,30.0,30.0,17.0,35.0,37.0,32.0,25.0,25.0,8.0,10.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,(1000 MT)
,,Malaysia,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Mali,0,0,0,15,21,29.0,30.0,27.0,33,36.0,59.0,68.0,64,71.0,69.0,61.0,83.0,91.0,87.0,116.0,136.0,129.0,167.0,176.0,192.0,180.0,220.0,180.0,198.0,260.0,282.0,301.0,282.0,255.0,113.0,254.0,208.0,290.0,245.0,240.0,176.0,111.0,86.0,109.0,122.0,177.0,239.0,258.0,290.0,290.0,350.0,390.0,420.0,440.0,220.0,375.0,240.0,335.0,(1000 MT)
,,Mexico,0,0,0,725,618,683.0,674.0,641.0,731,457.0,410.0,581.0,549,558.0,653.0,643.0,334.0,453.0,588.0,424.0,277.0,456.0,578.0,353.0,387.0,482.0,234.0,190.0,312.0,452.0,450.0,440.0,496.0,440.0,349.0,407.0,320.0,342.0,489.0,527.0,489.0,452.0,228.0,265.0,355.0,435.0,425.0,350.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Morocco,0,0,0,11,12,14.0,15.0,11.0,10,8.0,8.0,11.0,8,10.0,10.0,15.0,12.0,13.0,9.0,15.0,18.0,22.0,19.0,19.0,18.0,15.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Mozambique,0,0,0,64,55,74.0,76.0,71.0,60,21.0,29.0,34.0,31,26.0,23.0,25.0,20.0,12.0,20.0,6.0,16.0,12.0,13.0,15.0,19.0,20.0,20.0,20.0,20.0,25.0,34.0,45.0,54.0,35.0,23.0,26.0,32.0,44.0,33.0,38.0,38.0,36.0,38.0,30.0,16.0,59.0,53.0,40.0,40.0,30.0,34.0,28.0,27.0,32.0,32.0,32.0,32.0,30.0,(1000 MT)
,,Netherlands,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,New Zealand,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Niger,0,0,0,3,4,5.0,3.0,3.0,3,5.0,4.0,3.0,3,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Nigeria,0,0,0,78,0,14.0,66.0,24.0,73,100.0,117.0,32.0,70,32.0,32.0,17.0,20.0,17.0,20.0,15.0,34.0,27.0,42.0,55.0,53.0,93.0,97.0,60.0,85.0,90.0,110.0,70.0,65.0,50.0,116.0,128.0,102.0,124.0,120.0,120.0,120.0,130.0,137.0,137.0,148.0,108.0,112.0,100.0,75.0,95.0,95.0,95.0,95.0,80.0,125.0,130.0,130.0,130.0,(1000 MT)
,,Pakistan,0,0,0,888,881,1165.0,1244.0,1120.0,1016,832.0,710.0,900.0,782,1221.0,1215.0,1272.0,1318.0,867.0,1712.0,2098.0,2244.0,2495.0,2423.0,2328.0,2784.0,3702.0,2618.0,2325.0,2372.0,3220.0,2710.0,2653.0,2519.0,3250.0,3069.0,3072.0,2887.0,2917.0,4270.0,3839.0,3538.0,3350.0,3200.0,3480.0,3400.0,3600.0,3650.0,3650.0,4000.0,2800.0,2900.0,3150.0,3000.0,2650.0,1750.0,2533.0,1650.0,2600.0,(1000 MT)
,,Paraguay,0,0,0,22,13,32.0,47.0,53.0,60,60.0,128.0,160.0,120,129.0,115.0,152.0,120.0,138.0,260.0,167.0,135.0,285.0,338.0,350.0,410.0,215.0,200.0,188.0,165.0,170.0,57.0,110.0,90.0,100.0,128.0,69.0,69.0,151.0,94.0,86.0,50.0,35.0,27.0,9.0,15.0,38.0,26.0,10.0,7.0,6.0,6.0,9.0,12.0,15.0,15.0,15.0,45.0,45.0,(1000 MT)
