Commodity,Attribute,Country,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
,,Indonesia,29.0,32.0,12.0,10.0,13.0,14.0,13.0,16.0,16.0,18.0,14.0,13.0,12.0,13.0,11.0,11.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,17.0,18.0,21.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,20.0,21.0,21.0,21.0,20.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,(1000 MT)
,,Italy,65.0,67.0,52.0,59.0,56.0,46.0,53.0,57.0,18.0,44.0,37.0,30.0,38.0,38.0,45.0,56.0,56.0,52.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,(1000 MT)
,,Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,28.0,29.0,21.0,27.0,20.0,22.0,30.0,30.0,30.0,30.0,36.0,38.0,41.0,41.0,38.0,33.0,28.0,33.0,40.0,41.0,41.0,41.0,41.0,41.0,(1000 MT)
,,Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,6.0,7.0,5.0,(1000 MT)
,,Mali,28.0,18.0,21.0,27.0,9.0,18.0,22.0,24.0,15.0,16.0,17.0,8.0,8.0,18.0,18.0,20.0,24.0,17.0,20.0,19.0,19.0,24.0,36.0,23.0,25.0,25.0,9.0,20.0,18.0,15.0,11.0,10.0,9.0,15.0,20.0,25.0,25.0,25.0,25.0,22.0,24.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,(1000 MT)
,,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,(1000 MT)
,,Mozambique,7.0,13.0,5.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,10.0,14.0,14.0,14.0,17.0,24.0,18.0,17.0,18.0,17.0,17.0,18.0,15.0,17.0,16.0,18.0,22.0,22.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,(1000 MT)
,,Netherlands,5.0,4.0,3.0,3.0,4.0,2.0,5.0,5.0,4.0,9.0,2.0,2.0,2.0,1.0,4.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Nicaragua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,5.0,9.0,9.0,8.0,7.0,7.0,6.0,5.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,(1000 MT)
